"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,76,"1828 Meta Heusser-Schweizer met with Gerold Meyer, later an important biographer and historiographer and Wichelhausens.",1828,1,"HeScM1797","Scene:  76#   1828 Meta Heusser-Schweizer met with Gerold Meyer, later an important biographer and historiographer and Wichelhausens.","Year:  1828  - - -  Character: HeScM1797"
1,1,77,"The same year, Bernhard Hirzel graduated from theology after a very short time of study and with excellent records.",1828,3,"HiB1807","Scene:  77#   The same year, Bernhard Hirzel graduated from theology after a very short time of study and with excellent records.","Year:  1828  - - -  Character: HiB1807"
1,1,78,"Constantin Siegwart married Josefine Müller, daughter of Karl Martin Müller and sister of Vinzenz and Franz and would call himself from then on Constantin Siegwart-Müller.",1828,4,"SiMueC1800","Scene:  78#   Constantin Siegwart married Josefine Müller, daughter of Karl Martin Müller and sister of Vinzenz and Franz and would call himself from then on Constantin Siegwart-Müller.","Year:  1828  - - -  Character: SiMueC1800"
1,1,79,"26 May 1829 Meta Heusser-Schweizer gave life to her third son Heinrich Willhelm. He would die only 16 days later.",1829,1,"HeScM1797","Scene:  79#   26 May 1829 Meta Heusser-Schweizer gave life to her third son Heinrich Willhelm. He would die only 16 days later.","Year:  1829  - - -  Character: HeScM1797"
1,1,80,"1830 was the beginning of a new, liberal era iniciated with the July Revolution in Paris. Already in 1819 the Association Zofingia (Zofingerverein) was founded by the liberals in Zürich, the patriotic Sempacher Association (Sempacherverein), in 1821, the Schweizerische Schützenverein, a Swiss schooting association, in 1824 as well as several Gymnastic and choral societies in which liberal thinking men were organized. Another important role played the press in this change.",1830,5,"WeH1789","Scene:  80#   1830 was the beginning of a new, liberal era iniciated with the July Revolution in Paris. Already in 1819 the Association Zofingia (Zofingerverein) was founded by the liberals in Zürich, the patriotic Sempacher Association (Sempacherverein), in 1821, the Schweizerische Schützenverein, a Swiss schooting association, in 1824 as well as several Gymnastic and choral societies in which liberal thinking men were organized. Another important role played the press in this change.","Year:  1830  - - -  Character: WeH1789"
1,1,81,"1830-1833 The cantonal Constitutions were changed with a Liberal orientation, beginning in new Cantons Vaud and Ticino, who were former subject to Bern and Zürich during the Ancien Régim.",1830,4,"SiMueC1800","Scene:  81#   1830-1833 The cantonal Constitutions were changed with a Liberal orientation, beginning in new Cantons Vaud and Ticino, who were former subject to Bern and Zürich during the Ancien Régim.","Year:  1830  - - -  Character: SiMueC1800"
1,1,82,"Simultaneously, the press and the immigration control (Fremdenpolizei) were restricted in several cantons. Also in the forest cantons liberal movements achieved a constitutional change.",1830,4,"SiMueC1800","Scene:  82#   Simultaneously, the press and the immigration control (Fremdenpolizei) were restricted in several cantons. Also in the forest cantons liberal movements achieved a constitutional change.","Year:  1830  - - -  Character: SiMueC1800"
1,1,83,"During this turbulent times, Heinrich Weiss became member of the Grand Council on the 9 December 1830.",1830,5,"WeH1789","Scene:  83#   During this turbulent times, Heinrich Weiss became member of the Grand Council on the 9 December 1830.","Year:  1830  - - -  Character: WeH1789"
1,1,84,"One of his most important contributions would be the abolition of tithes claims. His presenting of the Day of Uster (Ustertag) and bringing forward Snells proposal of a liberal Constitution in the following year 1831.",1831,5,"WeH1789","Scene:  84#   One of his most important contributions would be the abolition of tithes claims. His presenting of the Day of Uster (Ustertag) and bringing forward Snells proposal of a liberal Constitution in the following year 1831.","Year:  1831  - - -  Character: WeH1789"
1,1,85,"On January 1st of 1831 Bernhard Hirzel passed his final exam at the Carolinum. In February he recieved an award for his translation of Book of 4 Maccabees and in March he passed an church exam in dogmatic, exegesis and pastoral science by the Church Council which would enable him to be a pastor of the Reformed Church of Zürich. In the same month he preached a sermon as part of the selection process as future pastor and was finally ordinated as VDM (Verbi divini minister); the statues of an official minister of the Protestant Church on March 18th.",1831,3,"HiB1807","Scene:  85#   On January 1st of 1831 Bernhard Hirzel passed his final exam at the Carolinum. In February he recieved an award for his translation of Book of 4 Maccabees and in March he passed an church exam in dogmatic, exegesis and pastoral science by the Church Council which would enable him to be a pastor of the Reformed Church of Zürich. In the same month he preached a sermon as part of the selection process as future pastor and was finally ordinated as VDM (Verbi divini minister); the statues of an official minister of the Protestant Church on March 18th.","Year:  1831  - - -  Character: HiB1807"
1,1,86,"Two days later Heinrich Weiss became Member of the State Council (Regierungsrates) as a radical-liberal. Usteri and Wyss became first and second Office Mayors and Ludwig Keller magistrate.",1831,5,"WeH1789","Scene:  86#   Two days later Heinrich Weiss became Member of the State Council (Regierungsrates) as a radical-liberal. Usteri and Wyss became first and second Office Mayors and Ludwig Keller magistrate.","Year:  1831  - - -  Character: WeH1789"
1,1,87,"On April the 25th the summer semester started in Berlin and Hirzel went there to study, among other things, theology with Schleiermacher (1768-1834) and Sanskrit with Franz Bopp (1791-1867). In September he moved to Paris to study with the Sanskritist Antoine Léonard de Chézy (1773-1832). At the end of the same year the Educational councillor Johann Caspar Orelli sugested Hirzel in a letter the possibility for a position as lecture in Hebrew and Biblical Greek was at the Theological Institut in Zürich.",1831,3,"HiB1807","Scene:  87#   On April the 25th the summer semester started in Berlin and Hirzel went there to study, among other things, theology with Schleiermacher (1768-1834) and Sanskrit with Franz Bopp (1791-1867). In September he moved to Paris to study with the Sanskritist Antoine Léonard de Chézy (1773-1832). At the end of the same year the Educational councillor Johann Caspar Orelli sugested Hirzel in a letter the possibility for a position as lecture in Hebrew and Biblical Greek was at the Theological Institut in Zürich.","Year:  1831  - - -  Character: HiB1807"
1,1,88,"Pfäffikon had become district capital instead of Kyburg and in the forest Cantons debates on constitutional reforms went on.",1831,5,"WeH1789","Scene:  88#   Pfäffikon had become district capital instead of Kyburg and in the forest Cantons debates on constitutional reforms went on.","Year:  1831  - - -  Character: WeH1789"
1,1,89,"In Luzern, the conservative and later friend of Constantin Siegwart, Joseph Leu had become Grand Councillor.",1831,4,"SiMueC1800","Scene:  89#   In Luzern, the conservative and later friend of Constantin Siegwart, Joseph Leu had become Grand Councillor.","Year:  1831  - - -  Character: SiMueC1800"
1,1,90,"28 May 1832 he national democratic Hambach Festival advanced the beginning of a new liberal era, the so called Vormärz, in Germany. Emma Siegmund observed the news as a young lady from her parents villa in Berlin.",1832,7,"HeSiE1817","Scene:  90#   28 May 1832 he national democratic Hambach Festival advanced the beginning of a new liberal era, the so called Vormärz, in Germany. Emma Siegmund observed the news as a young lady from her parents villa in Berlin.","Year:  1832  - - -  Character: HeSiE1817"
1,1,91,"31 August 1832 Antoine Léonard de Chézy, Berhand Hirzel’s Sanskrit professor died. Hirzel was deeply affected as he confessed his friend Bluntschli.",1832,3,"HiB1807","Scene:  91#   31 August 1832 Antoine Léonard de Chézy, Berhand Hirzel’s Sanskrit professor died. Hirzel was deeply affected as he confessed his friend Bluntschli.","Year:  1832  - - -  Character: HiB1807"
1,1,92,"In the following month he published a preprint of his translation of the 3rd Act of the Sakuntala in the ""Morgenblatt für gebildete Stände"".",1832,3,"HiB1807","Scene:  92#   In the following month he published a preprint of his translation of the 3rd Act of the Sakuntala in the ""Morgenblatt für gebildete Stände"".","Year:  1832  - - -  Character: HiB1807"
1,1,93,"October 1832 were agitated days for Bernhard Hirzel.",1832,3,"HiB1807","Scene:  93#   October 1832 were agitated days for Bernhard Hirzel.","Year:  1832  - - -  Character: HiB1807"
1,1,94,"On the 20th the Educational council publishes the vacancies for the new University that should be established in Zürich. After Basel, founded in 1460, the second in Switzerland. It should become a new tool for the liberal development in Zürich. But no chair of Orientalistic was offered, which highly deceived Bernhard Hirzel, who understood, influenced by Hegelian ideas, that Sanskrit was a key to a liberal religious education.",1832,3,"HiB1807","Scene:  94#   On the 20th the Educational council publishes the vacancies for the new University that should be established in Zürich. After Basel, founded in 1460, the second in Switzerland. It should become a new tool for the liberal development in Zürich. But no chair of Orientalistic was offered, which highly deceived Bernhard Hirzel, who understood, influenced by Hegelian ideas, that Sanskrit was a key to a liberal religious education.","Year:  1832  - - -  Character: HiB1807"
1,1,95,"On the 28th a new educational law was established.",1832,3,"HiB1807","Scene:  95#   On the 28th a new educational law was established.","Year:  1832  - - -  Character: HiB1807"
1,1,96,"On November 16th, in a letter, Hottinger expressed his regret for the lack of a chair in Orientalistic at the university to Hirzel. He added even a reference for Hirzel in the attachement.",1832,3,"HiB1807","Scene:  96#   On November 16th, in a letter, Hottinger expressed his regret for the lack of a chair in Orientalistic at the university to Hirzel. He added even a reference for Hirzel in the attachement.","Year:  1832  - - -  Character: HiB1807"
1,1,97,"In a letter to Bluntschli, Bernhard Hirzel revealed on the 4th of December that he took the possibility of a chair never very serious.",1832,3,"HiB1807","Scene:  97#   In a letter to Bluntschli, Bernhard Hirzel revealed on the 4th of December that he took the possibility of a chair never very serious.","Year:  1832  - - -  Character: HiB1807"
1,1,98,"In the same year, Heinrich Weiss became president of the Police Council, something like a Superintendent and would be remember by the cantonal police as the as the ""leader"" of the county up to current days.",1832,5,"WeH1789","Scene:  98#   In the same year, Heinrich Weiss became president of the Police Council, something like a Superintendent and would be remember by the cantonal police as the as the ""leader"" of the county up to current days.","Year:  1832  - - -  Character: WeH1789"
1,1,99,"Constantin Siegwart-Müller sent a short publication demonstrating his radical-liberal ideals to Casimir Pfyffer in order to apply for citizenship in Luzern. Which he would achieve soon after in Oberkich, Luzern.",1832,4,"SiMueC1800","Scene:  99#   Constantin Siegwart-Müller sent a short publication demonstrating his radical-liberal ideals to Casimir Pfyffer in order to apply for citizenship in Luzern. Which he would achieve soon after in Oberkich, Luzern.","Year:  1832  - - -  Character: SiMueC1800"
1,1,100,"30 January 1833 the bulwark of the city of Zürich was downsized.",1833,5,"WeH1789","Scene:  100#   30 January 1833 the bulwark of the city of Zürich was downsized.","Year:  1833  - - -  Character: WeH1789"
1,1,101,"In February Bernhard Hirzel presented his dissertation on ""ars metrica des Calidasa"", presented at the University Göttingen for which he would receive his doctoral degree from the University of Göttingen.",1833,3,"HiB1807","Scene:  101#   In February Bernhard Hirzel presented his dissertation on ""ars metrica des Calidasa"", presented at the University Göttingen for which he would receive his doctoral degree from the University of Göttingen.","Year:  1833  - - -  Character: HiB1807"
1,1,102,"In March, The Educational council appointed Hirzel as outside lecturer (Privatdozent) for the University Zürich and on April 29, 1833 the University started finally its activity.",1833,3,"HiB1807","Scene:  102#   In March, The Educational council appointed Hirzel as outside lecturer (Privatdozent) for the University Zürich and on April 29, 1833 the University started finally its activity.","Year:  1833  - - -  Character: HiB1807"
1,1,103,"Two month later, in June, a great fire burned the centre of Luzern down. Katharina Peyer was one of the first in perceiving it and alerting the firemen. She actively helped in saving people and goods during this great brand. The salvation of the city was celebrate in a church mass on 23 June 1833.",1833,2,"MoKaK1790","Scene:  103#   Two month later, in June, a great fire burned the centre of Luzern down. Katharina Peyer was one of the first in perceiving it and alerting the firemen. She actively helped in saving people and goods during this great brand. The salvation of the city was celebrate in a church mass on 23 June 1833.","Year:  1833  - - -  Character: MoKaK1790"
1,1,104,"In that year, Meta Heusser-Schweizer visited frequently friends in Wollishofen. In Wollishofen a second election for pastor hold place on the 17th of November.",1833,1,"HeScM1797","Scene:  104#   In that year, Meta Heusser-Schweizer visited frequently friends in Wollishofen. In Wollishofen a second election for pastor hold place on the 17th of November.","Year:  1833  - - -  Character: HeScM1797"
1,1,105,"29 November 1833 applied Bernhard Hirzel for membership of the Synod of Zurich, with delay after his voyage to Göttingen.",1833,3,"HiB1807","Scene:  105#   29 November 1833 applied Bernhard Hirzel for membership of the Synod of Zurich, with delay after his voyage to Göttingen.","Year:  1833  - - -  Character: HiB1807"
1,1,106,"In 1833 he also married to Maria Elise Tobler.",1833,3,"HiB1807","Scene:  106#   In 1833 he also married to Maria Elise Tobler.","Year:  1833  - - -  Character: HiB1807"
1,1,107,"Constantin Siegwart-Müller, in the same year, moved to Luzern, where recently a liberal constitutional proposal was rejected, and started to work as attorney, editor and publisher of the ""Volkszeitung"" and took active interest in the political and economic development of his canton.",1833,4,"SiMueC1800","Scene:  107#   Constantin Siegwart-Müller, in the same year, moved to Luzern, where recently a liberal constitutional proposal was rejected, and started to work as attorney, editor and publisher of the ""Volkszeitung"" and took active interest in the political and economic development of his canton.","Year:  1833  - - -  Character: SiMueC1800"
1,1,108,"Heinrich Weiss became founded the Savings Bank (Sparkasse) of the District Pfäffikon.",1833,5,"WeH1789","Scene:  108#   Heinrich Weiss became founded the Savings Bank (Sparkasse) of the District Pfäffikon.","Year:  1833  - - -  Character: WeH1789"
1,1,109,"The Gotthard pass became passable, through the efforts of the Cantonal government (1830-1840) and steamship cruised on the Lake Lucerne for the first time.",1833,4,"HeScM1797; SiMueC1800","Scene:  109#   The Gotthard pass became passable, through the efforts of the Cantonal government (1830-1840) and steamship cruised on the Lake Lucerne for the first time.","Year:  1833  - - -  Character: HeScM1797; SiMueC1800"
1,1,110,"Constantin Siegward-Müller received the citizenship of Einsiedeln {check date}.",1833,4,"SiMueC1800","Scene:  110#   Constantin Siegward-Müller received the citizenship of Einsiedeln {check date}.","Year:  1833  - - -  Character: SiMueC1800"
1,1,111,"15 March 1834 was the date of death of Schleiermacher’s, Bernhard Hirzel’s teacher in theology, diligently annotated by Meta Heusser-Schweizer in her diary. She passed the summer month July in Schwyz with her friend Josef Anton Alois II. Franz ab Yberg (1783-1864), short Alois, and in by the Ab Ybergs in Seewen. Later on in October she would assist the reunions of her Anabaptist friends and the teachings of Zaremba, one of the missionaris of the Basler Mission who received allowance by Zar Alexander I. to preach in Russia.",1834,1,"HeScM1797","Scene:  111#   15 March 1834 was the date of death of Schleiermacher’s, Bernhard Hirzel’s teacher in theology, diligently annotated by Meta Heusser-Schweizer in her diary. She passed the summer month July in Schwyz with her friend Josef Anton Alois II. Franz ab Yberg (1783-1864), short Alois, and in by the Ab Ybergs in Seewen. Later on in October she would assist the reunions of her Anabaptist friends and the teachings of Zaremba, one of the missionaris of the Basler Mission who received allowance by Zar Alexander I. to preach in Russia.","Year:  1834  - - -  Character: HeScM1797"
1,1,112,"7 October 1834 Elisabeth Tobler gave birth to Paul Arnold Hirzel; her first and unique son with Bernhard Hirzel.",1834,3,"HiB1807","Scene:  112#   7 October 1834 Elisabeth Tobler gave birth to Paul Arnold Hirzel; her first and unique son with Bernhard Hirzel.","Year:  1834  - - -  Character: HiB1807"
1,1,113,"1834 was an active year for Heinrich Weiss. He became an Official salt merchant (Salzfaktor) and District Judge. In this latter function he tried to improvement of the legal system in the interest of the people.",1834,5,"WeH1789","Scene:  113#   1834 was an active year for Heinrich Weiss. He became an Official salt merchant (Salzfaktor) and District Judge. In this latter function he tried to improvement of the legal system in the interest of the people.","Year:  1834  - - -  Character: WeH1789"
1,1,114,"He was appointed Coronel of the Swiss Confederate troops. Further, he affiliated as a member of the radical-liberal Free-thinking Party and he actively worked also for the takeover of the road traffic system by the Cantonal government.",1834,5,"WeH1789","Scene:  114#   He was appointed Coronel of the Swiss Confederate troops. Further, he affiliated as a member of the radical-liberal Free-thinking Party and he actively worked also for the takeover of the road traffic system by the Cantonal government.","Year:  1834  - - -  Character: WeH1789"
1,1,115,"In 1835 the hotel Schwanden was built in Luzern, next to the Schweizerhof, and until 1855 the only hotel with view on the lake besides the former.",1835,2,"MoKaK1790","Scene:  115#   In 1835 the hotel Schwanden was built in Luzern, next to the Schweizerhof, and until 1855 the only hotel with view on the lake besides the former.","Year:  1835  - - -  Character: MoKaK1790"
1,1,116,"Heinrich Weiss was elected Grand Councillor and founded the secondary school of in Fehraltorf.",1835,5,"WeH1789","Scene:  116#   Heinrich Weiss was elected Grand Councillor and founded the secondary school of in Fehraltorf.","Year:  1835  - - -  Character: WeH1789"
1,1,117,"1835 Siewart-Müller became Second State Secretatry (Staatsschreiber) and was appointed State Secretary.",1835,4,"SiMueC1800","Scene:  117#   1835 Siewart-Müller became Second State Secretatry (Staatsschreiber) and was appointed State Secretary.","Year:  1835  - - -  Character: SiMueC1800"
1,1,118,"On 2 January 1836 Meta Heusser-Schweizer’s mother died peacefully.",1836,1,"HeScM1797","Scene:  118#   On 2 January 1836 Meta Heusser-Schweizer’s mother died peacefully.","Year:  1836  - - -  Character: HeScM1797"
1,1,119,"10 June of the same year, the Catholic Collegium of Grand Councillors (Großrathscollegium) summons an administration for the monastery in Pfäffers, St. Gallen in which Constantin Siegwart-Müller was involved. Also Meta Heusser-Schweizer was concerned since she stood often during her life in the monastery and its sanatory.",1836,1,"HeScM1797","Scene:  119#   10 June of the same year, the Catholic Collegium of Grand Councillors (Großrathscollegium) summons an administration for the monastery in Pfäffers, St. Gallen in which Constantin Siegwart-Müller was involved. Also Meta Heusser-Schweizer was concerned since she stood often during her life in the monastery and its sanatory.","Year:  1836  - - -  Character: HeScM1797"
1,1,120,"Three days later, on the 13th, Heinrich Weiss became member and Quaestor of the Swiss welfare organisation, the Schweizerische Gemeinnützige Gesellschaft.",1836,5,"WeH1789","Scene:  120#   Three days later, on the 13th, Heinrich Weiss became member and Quaestor of the Swiss welfare organisation, the Schweizerische Gemeinnützige Gesellschaft.","Year:  1836  - - -  Character: WeH1789"
1,1,121,"17 October 1836 Meta Heusser-Schweizer gave life to her fourth daughter Meta Louise (1836-1904)",1836,1,"HeScM1797","Scene:  121#   17 October 1836 Meta Heusser-Schweizer gave life to her fourth daughter Meta Louise (1836-1904)","Year:  1836  - - -  Character: HeScM1797"
1,1,122,"In the meantime, the liberal party in Zürich planned to reform the church by appointing a revolutionary theologian David Friedrich Strauss to the university of Zürich. Bernhard Hirzel voted in his favor.",1836,1,"HeScM1797","Scene:  122#   In the meantime, the liberal party in Zürich planned to reform the church by appointing a revolutionary theologian David Friedrich Strauss to the university of Zürich. Bernhard Hirzel voted in his favor.","Year:  1836  - - -  Character: HeScM1797"
1,1,123,"1836 in Luzern, the planned dock works would not be realized.",1836,2,"MoKaK1790","Scene:  123#   1836 in Luzern, the planned dock works would not be realized.","Year:  1836  - - -  Character: MoKaK1790"
1,1,124,"13 February 1837 was a dark day in the life of Katharina Peyer. It was Carnival in Luzern, but her husband Heinrich Peyer lied already a while ill in bed and died that day from lung haemorrhage, in presence of the helpless Katharina.",1837,2,"MoKaK1790","Scene:  124#   13 February 1837 was a dark day in the life of Katharina Peyer. It was Carnival in Luzern, but her husband Heinrich Peyer lied already a while ill in bed and died that day from lung haemorrhage, in presence of the helpless Katharina.","Year:  1837  - - -  Character: MoKaK1790"
1,1,125,"A month earlier in the Canton Zürich, January 18, Pastor Hans Jakob Vogel, pastor of Schwerzenbach, died.",1837,1,"HeScM1797; HiB1807","Scene:  125#   A month earlier in the Canton Zürich, January 18, Pastor Hans Jakob Vogel, pastor of Schwerzenbach, died.","Year:  1837  - - -  Character: HeScM1797; HiB1807"
1,1,126,"18 March, Bernhard Hirzel applied for the vicariate, after the death of H.J. Vogel until the ordination of H. Schweizer. According his own words in his ""Rückschau"" he considered this a favor [""Gefälligkeit""] and was accepted as vicar in on 4 April 1837.",1837,3,"HiB1807","Scene:  126#   18 March, Bernhard Hirzel applied for the vicariate, after the death of H.J. Vogel until the ordination of H. Schweizer. According his own words in his ""Rückschau"" he considered this a favor [""Gefälligkeit""] and was accepted as vicar in on 4 April 1837.","Year:  1837  - - -  Character: HiB1807"
1,1,127,"Heinrich Weiss was still occupied with the cantonal transport system and made a complaint on the tracing of the road from Fehraltorf to Rueti through the Ried, on 3 June 1837. Later, on 27 July, he made further petitions concerning this road.",1837,5,"WeH1789","Scene:  127#   Heinrich Weiss was still occupied with the cantonal transport system and made a complaint on the tracing of the road from Fehraltorf to Rueti through the Ried, on 3 June 1837. Later, on 27 July, he made further petitions concerning this road.","Year:  1837  - - -  Character: WeH1789"
1,1,128,"July 29, Bernhard Hirzel left Schwerzenbach where soon after, on the 6th of August Heinrich Schweizer would become pastor as Meta Heusser-Schweizer remarked.",1837,1,"HeScM1797; HiB1807","Scene:  128#   July 29, Bernhard Hirzel left Schwerzenbach where soon after, on the 6th of August Heinrich Schweizer would become pastor as Meta Heusser-Schweizer remarked.","Year:  1837  - - -  Character: HeScM1797; HiB1807"
1,1,129,"In July, Meta Heusser-Schweizer travelled to the monastery Pfäffers where she would be soon joined by her children.",1837,1,"HeScM1797","Scene:  129#   In July, Meta Heusser-Schweizer travelled to the monastery Pfäffers where she would be soon joined by her children.","Year:  1837  - - -  Character: HeScM1797"
1,1,130,"In the same moth Emma Herwegh made a tour through Switzerland.",1837,7,"HeSiE1817","Scene:  130#   In the same moth Emma Herwegh made a tour through Switzerland.","Year:  1837  - - -  Character: HeSiE1817"
1,1,131,"In September, Pfarrer Hans Jakob Meyer, former pastor of Pfäffikon, was appointed as pastor of the cantonal prison in Oetenbach. On the 12th, Hirzel sended his application for the vacancy in Pfäffikon to Antistes Gessner.",1837,1,"HeScM1797","Scene:  131#   In September, Pfarrer Hans Jakob Meyer, former pastor of Pfäffikon, was appointed as pastor of the cantonal prison in Oetenbach. On the 12th, Hirzel sended his application for the vacancy in Pfäffikon to Antistes Gessner.","Year:  1837  - - -  Character: HeScM1797"
1,1,132,"Three days later, the church committee (Kirchenstillstand) and the municipal council sended their own nominations to the church council; Kaspar Melchior Wirth a pastor they had already known.",1837,1,"HeScM1797; HiB1807","Scene:  132#   Three days later, the church committee (Kirchenstillstand) and the municipal council sended their own nominations to the church council; Kaspar Melchior Wirth a pastor they had already known.","Year:  1837  - - -  Character: HeScM1797; HiB1807"
1,1,133,"Wirth was not ordinated yet. Therefore was his election not possible due to the electory conventions of the church and is therefore rejected.",1837,1,"HeScM1797; HiB1807","Scene:  133#   Wirth was not ordinated yet. Therefore was his election not possible due to the electory conventions of the church and is therefore rejected.","Year:  1837  - - -  Character: HeScM1797; HiB1807"
1,1,134,"8 October 1837, Hirzel won the election as pastor of Pfäffikon. On the 14th, the elections was approved by the State council and on the 24th, the ordination of Pastor Bernhard Hirzel in Pfäffikon took place.",1837,3,"HiB1807","Scene:  134#   8 October 1837, Hirzel won the election as pastor of Pfäffikon. On the 14th, the elections was approved by the State council and on the 24th, the ordination of Pastor Bernhard Hirzel in Pfäffikon took place.","Year:  1837  - - -  Character: HiB1807"
1,1,135,"Beginning that month, on the 10th, Katharina left the ""Engel"" and received a ""Silver Spoon"" from the ""Trockenbund"".",1837,2,"MoKaK1790","Scene:  135#   Beginning that month, on the 10th, Katharina left the ""Engel"" and received a ""Silver Spoon"" from the ""Trockenbund"".","Year:  1837  - - -  Character: MoKaK1790"
1,1,136,"In 1837, Constantin Siegwart-Müller elected indirectly as Grand Counciler of Luzern and became founder and editor of the ""Schweizer Bundeszeitung"".",1837,4,"SiMueC1800","Scene:  136#   In 1837, Constantin Siegwart-Müller elected indirectly as Grand Counciler of Luzern and became founder and editor of the ""Schweizer Bundeszeitung"".","Year:  1837  - - -  Character: SiMueC1800"
1,1,137,"During this time, he worked together with his friend Christoph Fuchs, in favor of the radical-liberal chur policy reforms.",1837,4,"SiMueC1800","Scene:  137#   During this time, he worked together with his friend Christoph Fuchs, in favor of the radical-liberal chur policy reforms.","Year:  1837  - - -  Character: SiMueC1800"
1,1,138,"1 Januar 1838, Katharina married the ten years younger Josef Morel in Luzern.",1838,2,"MoKaK1790","Scene:  138#   1 Januar 1838, Katharina married the ten years younger Josef Morel in Luzern.","Year:  1838  - - -  Character: MoKaK1790"
1,1,139,"The same day, Bernhard Hirzel moved his furnitures to Pfäffikon.",1838,3,"BiH1807","Scene:  139#   The same day, Bernhard Hirzel moved his furnitures to Pfäffikon.","Year:  1838  - - -  Character: BiH1807"
1,1,140,"On February 2nd, Pastor Meyer held a farewell sermon and in the very night Pfäffikon was set on fire.",1838,1,"HeScM1797; HiB1807","Scene:  140#   On February 2nd, Pastor Meyer held a farewell sermon and in the very night Pfäffikon was set on fire.","Year:  1838  - - -  Character: HeScM1797; HiB1807"
1,1,141,"Bernhard Hirzel became president of the Fire Controll Commission. Until July he convoked 10 meetings and helps actively in the cleaning up and re-building of the town.",1838,3,"HiB1807","Scene:  141#   Bernhard Hirzel became president of the Fire Controll Commission. Until July he convoked 10 meetings and helps actively in the cleaning up and re-building of the town.","Year:  1838  - - -  Character: HiB1807"
1,1,142,"On February 14th, he officially moved to Pfäffikon and started his work as a pastor on the 25th.",1838,3,"HiB1807","Scene:  142#   On February 14th, he officially moved to Pfäffikon and started his work as a pastor on the 25th.","Year:  1838  - - -  Character: HiB1807"
1,1,143,"5 July 1838, the monastery of Pfäffers was officially dissoluted. This was a remarkable event for Constantin Siegwart-Müller who later blamed the “tired” Abbot Baumgartner.",1838,4,"SiMueC1800","Scene:  143#   5 July 1838, the monastery of Pfäffers was officially dissoluted. This was a remarkable event for Constantin Siegwart-Müller who later blamed the “tired” Abbot Baumgartner.","Year:  1838  - - -  Character: SiMueC1800"
1,1,144,"The same month, Bernhard Hirzel reported to the Church council the truly Christian compassion [ächt christliche Theilname] of the people of Pfäffikon.",1838,3,"HiB1807","Scene:  144#   The same month, Bernhard Hirzel reported to the Church council the truly Christian compassion [ächt christliche Theilname] of the people of Pfäffikon.","Year:  1838  - - -  Character: HiB1807"
1,1,145,"1838 Heinrich Weiss became President of the War Council and Envoy of the Confederate Diet (Tagsatzungsgesandter). He was also newly elected as member of the State Council.",1838,4,"WeH1789; SiMueC1800","Scene:  145#   1838 Heinrich Weiss became President of the War Council and Envoy of the Confederate Diet (Tagsatzungsgesandter). He was also newly elected as member of the State Council.","Year:  1838  - - -  Character: WeH1789; SiMueC1800"
1,1,146,"The Napoleon Affair kept Constantin Siegwart-Müller and the whole of Switzerland breathless. He rejected his election to the Small Council.",1838,4,"SiMueC1800","Scene:  146#   The Napoleon Affair kept Constantin Siegwart-Müller and the whole of Switzerland breathless. He rejected his election to the Small Council.","Year:  1838  - - -  Character: SiMueC1800"
1,1,147,"Somewhen, during those late 30s he finally broke with the radical-liberals and joined the Catholic-conservative reform movement.",1838,4,"SiMueC1800","Scene:  147#   Somewhen, during those late 30s he finally broke with the radical-liberals and joined the Catholic-conservative reform movement.","Year:  1838  - - -  Character: SiMueC1800"
1,1,148,"26 January 1839 David Friedrich Strauss was elected for the chair of theology at the University of Zürich. During the parish Chapter, Hirzel relativates the risk of a possible appointment of Strauss.",1839,4,"SiMueC1800; BiH1807","Scene:  148#   26 January 1839 David Friedrich Strauss was elected for the chair of theology at the University of Zürich. During the parish Chapter, Hirzel relativates the risk of a possible appointment of Strauss.","Year:  1839  - - -  Character: SiMueC1800; BiH1807"
1,1,149,"Two days later, returned Jakob Heusser from Zürich and informed his wife Meta Heusser-Schweizer about these news.",1839,1,"HeScM1797","Scene:  149#   Two days later, returned Jakob Heusser from Zürich and informed his wife Meta Heusser-Schweizer about these news.","Year:  1839  - - -  Character: HeScM1797"
1,1,150,"Meta Heusser-Schweizer was suddenly affected by an erysipelas (Gesichtsrose).",1839,1,"HeScM1797","Scene:  150#   Meta Heusser-Schweizer was suddenly affected by an erysipelas (Gesichtsrose).","Year:  1839  - - -  Character: HeScM1797"
1,1,151,"13 February 1839 Bernhard Hirzel participated in a meeting of deputies from 29 municipalities. They fix 11 points in a missive which goes out to all parishes of the Canton.",1839,3,"HiB1807","Scene:  151#   13 February 1839 Bernhard Hirzel participated in a meeting of deputies from 29 municipalities. They fix 11 points in a missive which goes out to all parishes of the Canton.","Year:  1839  - - -  Character: HiB1807"
1,1,152,"On the 17th, the church committee (Kirchenstillstand), of which Hirzel was member, hold a meeting. Actions in relation to the negative reactions from the people against the appointment of Strauss were discussed.",1839,3,"HiB1807","Scene:  152#   On the 17th, the church committee (Kirchenstillstand), of which Hirzel was member, hold a meeting. Actions in relation to the negative reactions from the people against the appointment of Strauss were discussed.","Year:  1839  - - -  Character: HiB1807"
1,1,153,"On the 18th, Hirzel motivated the church committee to wait, only an ""open revolution"" could remove a legally elected person.",1839,3,"HiB1807","Scene:  153#   On the 18th, Hirzel motivated the church committee to wait, only an ""open revolution"" could remove a legally elected person.","Year:  1839  - - -  Character: HiB1807"
