"Transcript","Author","Bibliography","Sequence_no","Text","places","footing (IM)","encounter (Goffman)","PC","comment","Story elemet",
14,645,532,675,"zuvörderst, daß das Zeughaus bewacht werden müsse; ",,,,,,,
14,645,532,676,"dann äußerte er gegen mich das Vorhaben, die beiden Brücken zu besetzen; ",,,,,,,
14,645,532,677,"von Bewachung der Stadt könne bei solchen Mitteln keine Rede sein. ",,,,,,,
14,645,532,678,"Ich ließ ihn qewähren, begab mich auf die Hauptwache zurück. ",,,,,,,
14,645,532,679,"Unterwegs bemerkte ich bewaffnete Bürger. Ich ließ deßhalb Herrn ","bürger;",,,,,,
14,645,532,680,"Stadtrath Gysi, Präsident der Stadtpolizei, ersuchen, zu mir auf die ",,,,,,,
14,645,532,681,"Hauptwache zu kommen. ",,,,,,,
14,645,532,682,"Er erschien sogleich, ",,,,,,,
14,645,532,683,"und ich richtete die Worte an ihn: Ich gewahre, daß von Ihren Leuten ","wort;",,,,,,
14,645,532,684,"einige Bewaffnete in Bewegung sind; als Präsident des Kriegsrathes glaube ","glaube;",,,,,,
14,645,532,685,"ich berechtigt und verpflichtet zu sein, Sie zu fragen, was Sie mit ",,,,,,,
14,645,532,686,"diesen Vorkehrungen beabsichten. Herr Gysi antwortete mir in freundlichem ","freund; wort;",,,,,,
14,645,532,687,"Tone, er anerkenne das und gebe mir deßhalb auch Alles an, was der ",,,,,,,
14,645,532,688,"Stadtrath verfügt habe. Ich werde mich erinnern, daß er mir schon im März ",,,,,,,
14,645,532,689,"d. J. die Controlle einer Bürgerwache von 63 oder 65 Mann vorgewiesen ","bürger;",,,,,,
14,645,532,690,"habe. Diese seien aufs Stadthaus berufen worden. Dann habe man im Weitern ",,,,,,,
14,645,532,691,"eine Liste von 500 Mann, die man, wenn sich das Gerücht als wahr ",,,,,,,
14,645,532,692,"bestätigen sollte, ebenfalls besammeln werde. Zweck dieser Anordnung sei ","ordnung;",,,,,,
14,645,532,693,"einzig Handhabung der Ruhe und Ordnung, der Sicherheit von Personen und ","ordnung; ruhe;",,,,,,
14,645,532,694,"Eigenthum; ein politischer Zweck sei damit nicht verbunden. ",,,,,,,
14,645,532,695,"Ich theilte ihm die an Herrn Oberst Hirzel ertheilte [-58—]Ordre mit. ",,,"oberst hirzel;",,,,
14,645,532,696,"Wir boten uns unter gegenseitiger Versicherung redlicher Absichten die ",,,,,,,
14,645,532,697,"Hand« und Herr Gysi verließ mich.",,,,,,,
14,645,532,698,"Um diese Zeit kam Herr Regierungsrath Hegetschweiler, Vicepräsident des ","regierungsrath;",,"hegetschweiger;",,,,
14,645,532,699,"Polizeirathes, auf die Hauptwache. Ich theilte ihm mit, was ich wußte, er ",,,,,,,
14,645,532,700,"behauptete fortwährend, es sei Alles bloß Gerücht. ",,,,,,,
14,645,532,701,"Unterdessen mehrten sich Anzeigen und Berichte von dem völligen Ausbruche ",,,,,,,
14,645,532,702,"des Landsturmes. Ungefähr um Mitternacht meldete sich ein junger ","land;",,,,,,
14,645,532,703,"Bauersmann auf der Hauptwache. Er kam ohne Rock und schweißtriefend von ",,,,,,,
14,645,532,704,"Schwamendingen gelaufen und verlangte vorgelassen zu werden. ",,,,,,,
14,645,532,705,"Herr Hegetschweiler in meiner, und der Gegenwart zweier oder dreier ",,,"hegetschweiger;",,,,
14,645,532,706,"anderer Männer, vernahm den jungen Mann und richtete nach einander ",,,,,,,
14,645,532,707,"folgende Fragen an ihn: Wer seid ihr? wie heißt ihr? was wollt ihr hier? ",,,,,,,
14,645,532,708,"was ist der Zweck eurer Angaben? wer hat euch geschickt? was wollt ihr? ",,,,,,,
14,645,532,709,"Der junge Mann, eine andere Aufnahme gewärtigend, stand etwas verblüfft. ",,,,,,,
14,645,532,710,"Auf Zureden seines Bruders und meine Ermahnung, getreu zu sagen, was er ",,,,,,,
14,645,532,711,"wisse, erzählte er, nachdem er seinen Namen angegeben, es sei ein ",,,,,,,
14,645,532,712,"Dragoner H. von V., der von einer Uebung nach Hause kehren wollte, auf ",,,,,,,
14,645,532,713,"der Straße von, Dübendorf im schnellsten Carriere zurückgeritten gekommen ",,,,,,,
14,645,532,714,"mit der Nachricht, auf der Brücke zu Dübendorf sei er in einen Haufen ",,,,,,,
14,645,532,715,"bewaffneter und mit Stöcken und allerlei Werkzeugen versehener Landleute ","land;",,,,,,
14,645,532,716,"hineingerathen, deren Absicht er alsobald erkannt habe und wovon er ",,,,,,,
14,645,532,717,"Nachricht nach Zürich hätte bringen wollen. Das Pferd sei ermüdet ","zürich;",,,"zürich;",,,
14,645,532,718,"gewesen, so daß es nicht weiter [-59-]hätte gehen können, worauf sein, ",,,,,,,
14,645,532,719,"des Deponenten Vater, ihn mit dieser Nachricht hieher geschickt hätte. ",,,,,,,
14,645,532,720,"Das Fragen begann auf's Neue. ",,,,,,,
14,645,532,721,"Das inquisitorische Verfahren ärgerte mich und den Bruder des Deponenten; ",,,,,,,
14,645,532,722,"wir suchten ihn unter der Versicherung frei zu machen, daß wir erklärten, ",,,,,,,
14,645,532,723,"wenn sich späterhin eine Falschheit des Berichtes ergebe, könne man gegen ",,,,,,,
14,645,532,724,"ihn und den Dragoner H. Untersuchung einleiten. Nach einigem Wortwechsel, ","wort;",,,,,,
14,645,532,725,"wobei Herr Hegetschweiler immer noch die Wahrheit der Berichte bestritt, ",,,"hegetschweiger;",,,,
14,645,532,726,"begaben wir uns außerhalb des Zimmers. Nun kam einer der ausgeschickten ",,,,,,,
14,645,532,727,"Landjäger mit der Kunde, er habe die Leute in Dübendorf gesehen; ferner ","land;",,,,,,
14,645,532,728,"lief ein Mann aus der Gegend von Pfäffikon, der mich erkannte, mit ",,,,"pfäffikon;",,,
14,645,532,729,"derselben Nachricht auf uns zu. 21a)[ ] ",,,,,,,
14,645,532,730,"Herr Hegetschweiler machte nicht mehr viele Einwendungen; ",,,"hegetschweiger;",,,,
14,645,532,731,"hingegen wie wir auf der Brücke hin und her gingen, stieß auch Herr ",,,,,,,
14,645,532,732,"Steffan zu uns mit den an mich gerichteten Worten: „Herr, ich frage Sie, ","wort;",,,,,,
14,645,532,733,"woher wissen Sie, daß in Pfäffiken gestürmt wird? Es ist an Allem [-60—] ",,,,,,,
14,645,532,734,"nichts!” ",,,,,,,
14,645,532,735,"Ich erwiederte ihm: „Herr, es ist nur zu wahr; hinlängliche Berichte sind ",,,,,,,
14,645,532,736,"da, daß Pfr. Hirzel das Stürmen angeordnet hat.” ",,,"hirzel B.;",,,,
14,645,532,737,"Er verließ uns mit der kräftig genug ausgesprochenen Verwünschung:",,,,,,,
14,645,532,738,"„ Dann soll ihn das - - [illegible, 3 signs, x?].”",,,,,,,
14,645,532,739," — Auf das Zimmer",,,,,,,
14,645,532,740,"der Hauptwache kam jetzt auch Herr Obergerichspräisident Finsler, sich zu ",,,,,,,
14,645,532,741,"erkundigen, worauf er, nachdem man ihm unserseits die Frage, ob zum ",,,,,,,
14,645,532,742,"Schutze einiger Herren, wie Keller, Füßli [illegible, 3 signs] etwas ",,,"keller;",,,,
14,645,532,743,"angeordnet worden sei, ",,,,,,,
14,645,532,744,"mit Nein beantworten mußte, sich mit der Versicherung entfernte, sich ","wort;",,,,,,
14,645,532,745,"sogleich zu Herrn Füßli begeben zu wollen, um ihm Zuflucht in seinem ",,,,,,,
14,645,532,746,"Hause anzubieten.",,,,,,,
14,645,532,747,"Früher schon hatte ich Herrn Fierz, als zweites Mitglied des ","mitglied;",,,,,,
14,645,532,748,"Kriegsrathes, einladen lassen, sich zu mir zu begeben. ",,,,,,,
14,645,532,749,"Wir gingen ungefähr um 2 Uhr in den Feldhof. ",,,,,,,
14,645,532,750,"Herr Oberst Hirzel hatte unterdessen einige Leute in die Zeughäuser ",,,"oberst hirzel;",,,,
14,645,532,751,"vertheilt und die Militärschule aufgestellt. 21b) ","schule;",,,,,,
14,645,532,752,"Hier erfuhren wir, daß einige Mitglieder des Regierungsraths im Zimmer ","regierungsrath; mitglied;",,,,,,
14,645,532,753,"des Polizeirathes auf der Hauptwache beisammen wären und wir begaben uns ",,,,,,,
14,645,532,754,"ebenfalls dahin.",,,,,,,
14,645,532,755,"Es ist der Studenten und ihres Antheils an der Geschichte dieser Nacht ",,,,,,,
14,645,532,756,"zum Theil auch in Verbindung mit mir 22a)[ ] öfter erwähnt worden; es ",,,,,,,
14,645,532,757,"ist billig, daß [-61—]ich auch ihrer erwähne, um so mehr, da nieder sie ",,,,,,,
14,645,532,758,"noch ich uns dessen schämen dürfen, was von uns erzählt wird, — so ferne ",,,,,,,
14,645,532,759,"es Wahrheit ist.",,,,,,,
14,645,532,760," — Zum dritten Mal, einmal, wie Hegetschweiler nicht weit entfernt von ",,,"hegetschweiger;",,,,
14,645,532,761,"mir auf der Brücke stand, kamen 2, 3 Abgeordnete von ihnen, die beim ",,,,,,,
14,645,532,762,"Widder besammelt waren, mich aufzusuchen und sich mir zum Dienste der ",,,,,,,
14,645,532,763,"Regierung anzubieten. ","regierung;",,,,,,
14,645,532,764,"Ich bat sie jedesmal, sich ruhig zu verhalten, keine Exzesse zu begehen ",,,,,,,
14,645,532,765,"und zu gewärtigen, ob die Regierung ihre Dienste annehmen wolle. ","regierung;",,,,,,
14,645,532,766,"Jedesmal begaben sie sich ruhig wieder zurück. ",,,,,,,
14,645,532,767,"Um [-62—]3 Uhr kamen sie wieder mit der Anzeige, ihre Cameraden waren ",,,,,,,
14,645,532,768,"beim Zeughaus und wünschten Waffen in Empfang zu nehmen. ",,,,,,,
14,645,532,769,"Ich ging, indem ich es Herrn Hegetschweiler mittheilte, zu ihnen und traf ",,,"hegetschweiger;",,,,
14,645,532,770,"sie vor dem Feldhofe in einer Anzahl von 30—40. ",,,,,,,
14,645,532,771,"Indem ich sie versicherte, daß ihr Muth und ihre Gesinnungen von der ",,,,,,,
14,645,532,772,"Regierung geachtet und anerkannt würden, machte ich ihnen Vorstellungen, ","regierung;",,,,,,
14,645,532,773,"daß es jetzt kaum wohlgethan wäre, ihren Wünschen zu entsprechen, daß sie ",,,,,,,
14,645,532,774,"sich aber gedulden, ruhige Zuschauer bleiben und sich deßhalb auch von ",,,,,,,
14,645,532,775,"hier entfernen und nach Hause begeben möchten. ",,,,,,,
14,645,532,776,"Ohne Widerrede, ohne Lärm und Geräusch entfernten sie sich auch. 22b)",,,,,,,
14,645,532,777,"[-63—]Auf unserm Wege zur Hauptwache trafen wir so viel Bürgermilitär an, ","bürger;",,,,,,
14,645,532,778,"daß wir annehmen mußten, das zweite, stärkere Contingent sei ebenfalls ",,,,,,,
14,645,532,779,"aufgestellt. ",,,,,,,
14,645,532,780,"Im Zimmer des Polizeirathes waren wirklich schon einige Mitglieder ","mitglied;",,,,,,
14,645,532,781,"vorhanden. ",,,,,,,
14,645,532,782,"Bald kam eine Einladung zur Sitzung auf 4 Uhr in die Wohnung des Herrn ",,,,,,,
14,645,532,783,"Bürgermeister Heß. ","bürger;",,,,,,
14,645,532,784,"Wir ließen ihn bitten, dieselbe doch in einem Staatsgebäude abhalten zu ",,,,,,,
14,645,532,785,"lassen. Er erschien auch wirklich bei uns und zeigte uns an, daß der von ",,,,,,,
14,645,532,786,"Pfäffikon aus ergangene Landsturm auf der Höhe von Oberstraß angelangt ","land;",,,"pfäffikon;",,,
14,645,532,787,"sei. ",,,,,,,
14,645,532,788,"Nach dieser Eröffnung gab ich der Behörde Kenntniß von dem Herrn Oberst ",,,,,,,
14,645,532,789,"Hirzel durch mich ertheilten Auftrag und Vollmacht und erklärte dabei, ",,,"oberst hirzel;",,,,
14,645,532,790,"ich verlange dessen Genehmigung oder Auflösung durch die Regierung, zu ","regierung;",,,,,,
14,645,532,791,"welch letzterer, falls sie nicht ihre Billigung erhalten sollte, jetzt ",,,,,,,
14,645,532,792,"noch Zeit sei. ",,,,,,,
14,645,532,793,"Einstimmig und unter Verdankung meiner Bemühung wurde meine Anordnung ","ordnung;",,,,,,
14,645,532,794,"belobt und gutgeheißen und somit zu der der Regierung gemacht. ","regierung;",,,,,,
14,645,532,795,"Die lebhafteste Billigung fand sie besonders [-64-]bei den Herren Ed. ",,,,,,,
14,645,532,796,"Sulzer und Zehnder 23)[ ] ",,,"sulzer;",,,,
14,645,532,797,"und es wurde mir sogar bemerkt, ich sollte Herrn Oberst Hirzel melden, ",,,"oberst hirzel;",,,,
14,645,532,798,"daß er ausgedehnte Vollmacht habe. ",,,,,,,
14,645,532,799,"Ich verlangte ausdrückliche Vormerkung hievon am Protokoll. Sollte diesem ",,,,,,,
14,645,532,800,"Verlangen, was ich zur Stunde nicht weiß, nicht entsprochen worden sein, ",,,,,,,
14,645,532,801,"so berufe ich mich gegen diejenigen, die meine Angabe bezweifeln sollten, ",,,,,,,
14,645,532,802,"auf alle damals zugegen gewesenen Collegen, von denen zwar die Herren ",,,,,,,
14,645,532,803,"Bürgi, Schäppi und Hotz mangelten. ",,,"bürgi;",,,,
14,645,532,804,"An den Bericht von meiner Unterredung mit Herrn Stadtrath Gysi knüpfte ",,,,,,,
14,645,532,805,"sich sogleich der Beschluß, den Herrn Stadtpräsidenten Ziegler und Herrn ",,,,,,,
14,645,532,806,"Gysi Hieher kommen zu lassen, um mit ihnen nochmals auch von Seite der ",,,,,,,
14,645,532,807,"Regierung über getroffene und noch zu treffende Sicherheitsmaßnahmen ","regierung;",,,,,,
14,645,532,808,"Rücksprache zu nehmen. ",,,,,,,
14,645,532,809,"Die Herren Heß, Eduard Sulzer und ich wurden zu dieser Besprechung ",,,"sulzer;",,,,
14,645,532,810,"angewiesen.",,,,,,,
14,645,532,811," — Es wurde nun berathen, was in Bezug auf die in Oberstraß stehenden ",,,,,,,
14,645,532,812,"Leute zu thun sei. ",,,,,,,
14,645,532,813,"Während der Berathung ließ Herr Oberst Hirzel durch Herrn ",,,"oberst hirzel;",,,,
14,645,532,814,"Oberstlieutenant Brunner mir zu Händen der Regierung melden, er habe den ","regierung;",,,,,,
14,645,532,815,"Plan der Besetzung beider Limmatbrücken aufgegeben und müsse die ",,,,,,,
14,645,532,816,"Regierung deßnahen, wenn sie unter dem Schutz der Militärschule [-65—]","regierung; schule;",,,,,,
14,645,532,817,"sein wolle, ersuchen, sich nach dem Löwenhof (altes Zeughaus) zu begeben. ",,,,,,,
14,645,532,818,"Ich eröffnete dieses. ",,,,,,,
14,645,532,819,"Man beschloß, nach Beendigung der angehobenen Berathunq, sich um 8 Uhr im ",,,,,,,
14,645,532,820,"Saale des Postgebäudes wieder zu besammeln. ",,,,,,,
14,645,532,821,"Die Berathung selbst war kurz, ihr Resultat, es sollten die beiden Herren ",,,,,,,
14,645,532,822,"Hegetschweiler und M. Sulzer mit der Standesfarbe sich nach Oberstraß ",,,"sulzer; hegetschweiger;",,,,
14,645,532,823,"begeben und dort nach dem Zweck und Vorhaben der Leute fragen.",,,,,,,
14,645,532,824," — Die beiden Herren Ziegler und Gysi erschienen und erklärten, ",,,,,,,
14,645,532,825,"ganz wie Herr Gysi vor Mitternacht es gegen mich gethan hatte, ",,,,,,,
14,645,532,826,"ihre Anordnungen bezwecken einzig Handhabung von Ruhe, Ordnung und ","ordnung; ruhe;",,,,,,
14,645,532,827,"Sicherheit; als Beweis hiefür möge auch gelten, daß sie auf den Thürmen ",,,,,,,
14,645,532,828,"alles Stürmen — (wirklich war in der Nacht in Schlieren ein Haus ",,,,,,,
14,645,532,829,"abgebrannt, ohne daß in der Stadt Feuerlärm gemacht wurde) des ",,,,,,,
14,645,532,830,"Bestimmtesten untersagt hätten; auch wäre anfänglich beschlossen gewesen, ",,,,,,,
14,645,532,831,"vor die Häuser einiger bekannter Männer Wachposten hinzustellen, diese ",,,,,,,
14,645,532,832,"Anordnung dann aber, um die Aufmerksamkeit der Einrückenden nicht gerade ","ordnung;",,,,,,
14,645,532,833,"dadurch auf diese Häuser hinzulenken, dahin abgeändert worden, von Zeit ",,,,,,,
14,645,532,834,"zu Zeit in deren Nähe patrouilliren zu lassen. ",,,,,,,
14,645,532,835,"Dann aber fügte Herr Ziegler noch bei, es sei dieß eine getreue Angabe ",,,,,,,
14,645,532,836,"dessen, was die Stadtbehörde gethan und bezwecke; ihre Leute seien ",,,,,,,
14,645,532,837,"angewiesen, die Landleute frei passiren zu lassen, mit ihnen nicht ","land;",,,,,,
14,645,532,838,"anzubinden; ",,,,,,,
14,645,532,839,"möglich wäre es aber, daß sich jene bei der bekannten, auch in der Stadt ",,,,,,,
14,645,532,840,"herrschenden Stimmung mit diesen verbinden könnten, wogegen er nicht ",,,,,,,
14,645,532,841,"bürgen könnte. ",,,,,,,
14,645,532,842,"Die Conferenz schloß mit der Bitte, für die Stadtmiliz noch 500 Gewehre",,,,,,,
14,645,532,843,"5 [page number in original] [-67—](nachdem bereits früher, ich weiß nicht ",,,,,,,
14,645,532,844,"mehr, durch wessen Anordnung, 60 abgegeben worden waren) verabfolgen zu ","ordnung;",,,,,,
14,645,532,845,"lassen. ",,,,,,,
14,645,532,846,"Die Bitte wurde gewährt!",,,,,,,
14,645,532,847,"Ungefähr um halb 6 Uhr ging ich über den Münster- und Paradeplatz und ",,,,"paradeplatz;",,,
14,645,532,848,"überzeugte mich, daß vor beiden Eingängen zum Zeughaus Abtheilungen von ",,,,,,,
14,645,532,849,"Cavallerie, Scharfschützen und Infanterie aufgestellt waren. ",,,,,,,
14,645,532,850,"Auf dem Paradeplatz sich ich auch Herrn Oberst Hirzel, dem ich von der ",,,"oberst hirzel;","paradeplatz;",,,
14,645,532,851,"durch den Regierungsrath ausgesprochenen Genehmigung und Ausdehnung ","regierungsrath;",,,,,,
14,645,532,852,"seiner Vollmachten Kenntniß gab. ",,,,,,,
14,645,532,853,"Dann begab ich mich nach Hause, wo meine Leute, die ich seit gestern ",,,,,,,
14,645,532,854,"Abends 7 Uhr nicht gesehen, die Nacht in der größten Unruhe zugebracht ","ruhe;",,,,,,
14,645,532,855,"hatten, die durch auch in mein Logis gelangte Nachrichten vom Anmärsche ",,,,,,,
14,645,532,856,"des Landsturmes noch vermehrt worden war. ","land;",,,,,,
14,645,532,857,"Hier hörte ich, wie durch Polizeidiener ausgerufen wurde: alle ",,,,,,,
14,645,532,858,"waffenfähige Mannschaft sei aufgefordert, sich zum Stadthaus zu begeben; ",,,,,,,
14,645,532,859,"wer Waffen habe, soll sie mitnehmen; wer keine habe, dem werden solche ",,,,,,,
14,645,532,860,"verabreicht werden.",,,,,,,
14,645,532,861,"Kaum bei Hause angelangt, erfolgte erpresse Einladung zur (letzten) ",,,,,,,
14,645,532,862,"Sitzung ins Postgebäude. ",,,,,,,
14,645,532,863,"Die beiden Abgeordneten waren zurück; ",,,,,,,
14,645,532,864,"Eduard Sulzer ließ eine Stunde auf sich warten. ",,,"sulzer;",,,,
14,645,532,865,"Nach seiner Ankunft berichtete Hegetschweiler: Wir begaben uns ",,,"hegetschweiger;",,,,
14,645,532,866,"Auftragsgemäß nach Oberstraß und stießen dort bei der Linde auf ungefähr ",,,,,,,
14,645,532,867,"2000 Mann, von denen etwa 200 bewaffnet waren, welch letztere bei unserer ",,,,,,,
14,645,532,868,"Annäherung in Reihe und Glied traten und präsentirten. ",,,,,,,
14,645,532,869,"Wir frugen nach ihrem Anführer. Als solcher ward uns Herr Pfarrer Hirzel ","pfarrer;",,"hirzel B.;",,,,
14,645,532,870,"bezeichnet, der sich in einem [-67—]Zimmer des Wirthshauses befand. ",,,,,,,
14,645,532,871,"Wir wurden vorgelassen und erhielten auf unsere Anfrage die Antwort, der ","wort;",,,,,,
14,645,532,872,"Zweck des heutigen Erscheinens sei, die von Kloten aus gestellten ",,,,,,,
14,645,532,873,"Verlangen nochmals zu erneuern, dann aber und vorzüglich bestehe das Volk ","volk;",,,,,,
14,645,532,874,"darauf, daß die Regierung erkläre, nicht nur sei sie nie Willens gewesen, ","regierung;",,,,,,
14,645,532,875,"fremde Truppen herbeizurufen, sondern sie werde auch nie fremder Hülfe ","fremde;",,,,,,
14,645,532,876,"begehren. ","begehren;",,,,,,
14,645,532,877,"Bevor eine entsprechende Erklärung an das Volk gelange, werde es sich ","volk;",,,,,,
14,645,532,878,"nicht auseinander begeben, dagegen aber auch nicht in die ",,,,,,,
14,645,532,879,"Stadt kommen. 24)[ ] ",,,,,,,
14,645,532,880,"Von einer anberaumten Frist war — und konnte ",,,,,,,
14,645,532,881,"demnach keine Rede sein! — ",,,,,,,
14,645,532,882,"Herr Hegetschweiler behauptete auch, die Leute verhalten sich gewiß ",,,"hegetschweiger;",,,,
14,645,532,883,"ruhig. ",,,,,,,
14,645,532,884,"Dieser Bericht des Herrn Hegetschweiler wurde von M. Sulzer [-68—] ",,,"sulzer; hegetschweiger;",,,,
14,645,532,885,"vollkommen bestätigt. ",,,,,,,
14,645,532,886,"Ob noch einige Worte vom Siebener-Concordat mit eingeflossen sind, kann ","wort;",,,,,,
14,645,532,887,"und will ich mit Zuverlässigkeit nicht behaupten. 25a)[ ] ",,,,,,,
14,645,532,888,"Nach einer Debatte von beiläufig Stunden, wobei der Regierungsrath das ","regierungsrath;",,,,,,
14,645,532,889,"Mißliche seiner Lage nur zu gut einsah, nur zu sehr sich überzeugte, daß ",,,,,,,
14,645,532,890,"er auf dem äußersten Punkte seiner Ohnmacht angekommen war, beschloß er, ",,,,,,,
14,645,532,891,"dem Volke in Oberstraß durch die Kanzlei die Antwort übermachen zu ","volk; wort;",,,,,,
14,645,532,892,"lassen: ",,,,,,,
14,645,532,893,"er habe die Einberufung fremder Truppen nie beabsichtigt und gedenke auch ","fremde;",,,,,,
14,645,532,894,"nicht, es zu thun, da er hoffe, die Wirren unseres Kantons werden sich ","hoffen;",,,,,,
14,645,532,895,"ohne fremde Truppen lösen. ","fremde;",,,,,,
14,645,532,896,"Die Kanzlei ward mit der Redaktion des Beschlusses beauftragt 25b) ",,,,,,,
14,645,532,897,"und man ging zur Berathung der [-69-]den Gesandten der Concordatstände ",,,,,,,
14,645,532,898,"auf ihre gestrige Einfrage zu ertheilenden Antwort über, ","wort;",,,,,,
14,645,532,899,"als die Nachricht [-70—]in's Zimmer kam: in Neumünster wird gestürmt! ",,,,,,,
14,645,532,900,"Herr Krauer hatte sich, wie die Antwort an den Landsturm [-71—]abgethan ","wort; land;",,,,,,
14,645,532,901,"war, eben darüber zu beschweren angefangen, daß er zur gestrigen Sitzung, ",,,,,,,
14,645,532,902,"nebst andern Mitgliedern, nicht eingeladen worden sei, als ihn jene ","mitglied;",,,,,,
14,645,532,903,"Nachricht unterbrach ",,,,,,,
14,645,532,904,"und nun Herr M. Sulzer darauf antrug, die Klage gegen die Mitglieder des ","mitglied;",,"sulzer;",,,,
14,645,532,905,"Comité zurückzuziehen, ","comité;",,,,,,
14,645,532,906,"was auch im Nu beschlossen ward.",,,,,,,
14,645,532,907," — Jetzt brachte Waibel Brändli die Anzeige: Die Leute ziehen über die ",,,,,,,
14,645,532,908,"Brücke. ",,,,,,,
14,645,532,909,"Ed. Sulzer, mir gegenüber sitzend, rief mir zu: „Jetzt, die Kanonen ",,,"sulzer;",,,,
14,645,532,910,"heraus!” ",,,,,,,
14,645,532,911,"Ich verlangte schriftlichen Auftrag. ",,,,,,,
14,645,532,912,"Versteht sich, sagte er. 26)[ ] ",,,,,,,
14,645,532,913,"Allein dazu war keine Zeit mehr; denn das [-72—]Gewehrfeuer knallte vom ",,,,,,,
14,645,532,914,"Münsterplatze her zu uns herüber.",,,,,,,
14,645,532,915,"Alles erhob sich, eine allgemeine Verwirrung entstand. Der Schmerz über ",,,,,,,
14,645,532,916,"das ausgebrochene Unglück stand auf allen Gesichtern. ",,,,,,,
14,645,532,917,"In der Verwirrung und nachdem bereits Hunderte der Landleute mit ","land;",,,,,,
14,645,532,918,"gezogenen Degen, Flinten, Stöcken [illegible, 3 signs] durch die ",,,,,,,
14,645,532,919,"Postgasse zweimal hin und her gereimt waren, verließ auch ich das ",,,,,,,
14,645,532,920,"Zimmer , begab mich in das unten gelegene der Post-Officianten, und dann ",,,,,,,
14,645,532,921,"an das, bereits zugeschlossene Portal des Posthauses, wo mehrere Leute ",,,,,,,
14,645,532,922,"und unter [-73—]ihnen auch Hegetschweiler stand. ",,,"hegetschweiger;",,,,
14,645,532,923,"Zum zweiten Male sprengte das Volk vom Münsterhofe her durch die ","volk;",,,,,,
14,645,532,924,"Postgasse 27)[ ] nach dem Paradeplatz und um das Hotel Baur. ",,,,"paradeplatz;",,,
14,645,532,925,"Auch hier wurden sie von dem Militärposten auf gleiche Weise, wie auf dem ",,,,,,,
14,645,532,926,"Münsterhofe empfangen und flohen dann größtentheils neben dem Postgebäude ",,,,,,,
14,645,532,927,"hinauf in die Kappelergasse. 28)[ ] ",,,,,,,
14,645,532,928,"Jetzt verließ Hegetschweiler das Portal, ging in den Saal hinauf, kam ",,,"hegetschweiger;",,,,
14,645,532,929,"bald mit zwei Papieren zurück,29a)[ ] ließ sich das [-74-]Portal öffnen ",,,,,,,
14,645,532,930,"und stürzte, in der Linken seinen Stock, in der Rechten die Papiere hoch ",,,,,,,
14,645,532,931,"empor haltend, um [-75—]die Südseite des Hotel Baur herum, dem ",,,,,,,
14,645,532,932,"Militärposten beim Zeughaus zu. ",,,,,,,
14,645,532,933,"Kaum war er meinen Augen entschwunden, so lief auch ich hinaus, theilS ",,,,,,,
14,645,532,934,"nichts Gutes für ihn ahnend, theils von Herrn Oberst Hirzel eine ",,,"oberst hirzel;",,,,
14,645,532,935,"Sicherheitswache für das Posthaus zu verlangen. ",,,,,,,
14,645,532,936,"Wie ich um die südliche Ecke des Hotel Baur kam, sah ich an der ",,,,,,,
14,645,532,937,"westlichen Ecke desselben, 4 Fuß davon, einen wohlgekleideten Mann im ",,,,,,,
14,645,532,938,"blauen Ueberrocke auf dem Pflaster, mit dem Kopf nach Südosten gewendet ",,,,,,,
14,645,532,939,"und auf dem Rücken liegen, ihm gegenüber [-76—]auf 10 Schritte unser ",,,,,,,
14,645,532,940,"Militär, rückwärts gegen den Paradeplatz zerstreute bewaffnete Landleute, ","land;",,,"paradeplatz;",,,
14,645,532,941,"da und dort Verwundete, die sich noch rührten, und Tobte auf dem Boden ",,,,,,,
14,645,532,942,"liegend. ",,,,,,,
14,645,532,943,"Der Anblick durchbebte mein Innerstes. ",,,,,,,
14,645,532,944,"Ich lief, die fürchterliche Wahrheit ahnend, auf ihn zu: er war es! — ",,,,,,,
14,645,532,945,"Ohne Bewußtsein lag Hegetschweiler da, das rechte Auge hoch angeschwollen ",,,"hegetschweiger;",,,,
14,645,532,946,"und Blut aus seinem Munde fließend. ",,,,,,,
14,645,532,947,"Ich wollte ihn aufheben, Niemand half mir. ",,,,,,,
14,645,532,948,"In diesem Augenblicke wurde eine Haubitze aus dem südlichen Thore ",,,,,,,
14,645,532,949,"gebracht; ich ging auf sie zu und sagte einem Herrn Hauptmann M., der ",,,,,,,
14,645,532,950,"dabei behülflich war: um's Himmelswillen, ohne Noth keine Kartätschen! ","noth;",,,,,,
14,645,532,951,"Die Leute sind ja meistens zerstreut.",,,,,,,
14,645,532,952," — Ich frug nach Herrn Oberst Hirzel; es hieß, er sei im Zeughaus; ",,,"oberst hirzel;",,,,
14,645,532,953,"ich lief durch alle Treppen hinauf, fand ihn aber nicht. ",,,,,,,
14,645,532,954,"Auf jedem Boden standen einige Bewaffnete; ich kannte sie nicht, zweifle ",,,,,,,
14,645,532,955,"aber noch jetzt, ob sie zur Militärschule gehörten. ","schule;",,,,,,
14,645,532,956,"Man sagte mir, Hegetschweiler liege da unten todt, ich wollte es ",,,"hegetschweiger;",,,,
14,645,532,957,"verheimlichen, man glaubte mir aber nicht. ",,,,,,,
14,645,532,958,"Wie ich das Zeughaus wieder verließ, war Hegetschweiler hinweggetragen. ",,,"hegetschweiger;",,,,
14,645,532,959,"Ich ging in's Haus zum Feldhof. ",,,,,,,
